"item","taxon","description","origin"
858,"Fritillaria persica","plum purple-grey green 30-90cm 169","G"
859,"Fritillaria pontica","pale green/maroon tinged 15-45cm >","G"
3174,"Fritillaria pudica","yellow 20cm Washington: N Cascades Hwy 64","W"
3175,"Fritillaria purdyi","translucent white/brown striations 5-10cm California: High North Coast Ranges, Glenn Co 2019m 175","W"
860,"Fritillaria pyrenaica","brownish-purple/yellow-greenish 15-40cm 73","G"
861,"Fritillaria raddeana","pale yellow 50-80cm 18 25","G"
3176,"Fritillaria recurva","red 50-75cm California: High North Coast Ranges, Glenn Co 1626m 175","W"
862,"Fritillaria rhodocanakis","purplish-brown/yellow 10-15cm 18","G"
863,"Fritillaria sewerzowii (ex Tian Shan, Kyrgyzstan)"," 83","G"
3177,"Fritillaria striata","white 20cm California: Tejon Ranch Conservancy, Kern Co 18","W"
864,"Fritillaria thunbergii","pale yellow/slightly tessellated 15-80cm 3 25 114","G"
865,"Fritillaria whittallii","green-brown 10-35cm 41","G"
868,"Galanthus 'Spindlestone Surprise'","white/yellow tip & ovary to 30cm 41","G"
875,"Gelasine elongata","bright blue-violet flr/grey-green lvs to 60cm 170","G"
876,"Gentiana acaulis","blue 2-8cm 107 154","G"
877,"Gentiana acaulis 'Undulatifolia'","blue flr/wavy-edged lvs 2-8cm 54 89","G"
878,"Gentiana andrewsii","dark blue 30-60cm 75","G"
879,"Gentiana andrewsii","white 30-60cm 146","G"
880,"Gentiana angustifolia","deep sky blue to 10cm 154","G"
881,"Gentiana angustifolia (Leach BG hybrid)","deep blue 7.5cm 54","G"
882,"Gentiana asclepiadea","dark blue-purple 50cm 175","G"
883,"Gentiana asclepiadea","deep blue 60-90cm 5 123","G"
884,"Gentiana asclepiadea","white 60-90cm 37 175","G"
886,"Gentiana asclepiadea 'Knightshayes'","deep blue 30-60cm 37 142","G"
887,"Gentiana asclepiadea 'Rosea'","pink-rose 30-60cm 142 175","G"
885,"Gentiana asclepiadea (tall form)","blue purple 100cm 175","G"
888,"Gentiana autumnalis","deep blue 30-60cm 137","G"
889,"Gentiana cachemirica","blue 10-25cm 147","G"
890,"Gentiana clausa","blue-purple 30-60cm 113","G"
891,"Gentiana clusii","blue 5-10cm 154","G"
892,"Gentiana clusii 'Alboviolacea'","pale pink/dark pink spotted throat & reverse 5cm 118","G"
893,"Gentiana cruciata","violet-blue 20-40cm 5 52 161","G"
894,"Gentiana cruciata 'Blue Cross'","dark blue to 30cm 147 175","G"
895,"Gentiana dahurica","dark blue-purple 10-25cm 32 107","G"
896,"Gentiana decumbens (cf)"," 57","G"
897,"Gentiana depressa","pale purple-blue 3-6cm 116 147","G"
898,"Gentiana gelida","pale yellow-cream to 40cm 119","G"
899,"Gentiana linearis","blue-purple 25-70cm 137","G"
900,"Gentiana lutea","yellow 1-2m 19 37","G"
3414,"Gentiana nivalis","blue 5cm Norway: Harstad 400m 188","W"
901,"Gentiana nubigena","white 3-10cm 86","G"
902,"Gentiana paradoxa","blue 15-25cm 85 156","G"
903,"Gentiana paradoxa x septemfida","blue 10-20cm 156","G"
904,"Gentiana saponaria 'Shoal Creek'"," 170","G"
905,"Gentiana septemfida","deep blue 15-30cm 156 158","G"
906,"Gentiana septemfida","white 15-30cm 156","G"
907,"Gentiana septemfida v lagodechiana","blue to 10cm 64","G"
908,"Gentiana siphonantha","dark blue-purple 10-25cm 119","G"
909,"Gentiana sp (ex Kazakhstan)"," 156","G"
910,"Gentiana uchiyamae","blue-purple 30-70cm 45","G"
911,"Gentiana verna","deep blue 5-8cm 44 45 58","G"
912,"Gentiana verna","white 5-8cm 58","G"
913,"Gentiana villosa","greenish white/purple-green veins 30-60cm 170","G"
929,"Gladiolus 'Atom'","red/white edge 30-90cm 175 177","G"
930,"Gladiolus carneus","white/pink 25-60cm 99","G"
931,"Gladiolus communis","reddish purple 50-100cm 64 154","G"
932,"Gladiolus dalenii 'Carolina Primrose'","pale yellow 45-90cm 175","G"
933,"Gladiolus flanaganii","bright red/paler red to 30cm >","G"
934,"Gladiolus imbricatus","reddish-violet purple 40-60cm 154 184","G"
935,"Gladiolus italicus","pink-light purple 50-100cm 3 74","G"
936,"Gladiolus priorii","red 30-40cm 29","G"
937,"Gladiolus tristis","cream/brown shading 40-100cm 111 121","G"
952,"Gloriosa modesta","bright yellow/orange to 2m 64","G"
959,"Habranthus brachyandrus","pink/dark base 30cm 107","G"
960,"Habranthus gracilifolius","pink 10-25cm 10","G"
961,"Habranthus robustus","pale pink 15-30cm 10 81","G"
962,"Habranthus tubispathus","yellow-copper 10-20cm 29","G"
1009,"Hesperantha baurii","bright pink to 20cm >","G"
1010,"Hesperantha huttonii","pink 20-45cm 64","G"
1024,"Hippeastrum 'Charisma'","red/white 60cm 81","G"
1025,"Hippeastrum hybrid 'HJB' (hardy zone 7)","red orange-red/cream-white splash on some 60cm 81","G"
1032,"Hyacinthella glabrescens","deep blue-violet 5-25cm 3","G"
1053,"Impatiens bicolor","pink/yellow 26-75cm 152 159","G"
3203,"Ipomoea leptophylla","lavender/pink to 90cm Colorado: Douglas Co 1890m 144","W"
1067,"Ipomoea lobata","red-orange-yellow to 5m 121","G"
1068,"Ipomoea purpurea 'Dacapo Light Blue'","clear blue/dark purple star 2m 121","G"
1073,"Iris Cal-Sib hybrid (Pacific Coast x Sibirica) (dwarf)","white 20-25cm 178","G"
1100,"Iris Pacific Coast hybrid 'Blue Nebula'","red-purple/blue 35cm 68","G"
1101,"Iris Pacific Coast hybrid 'Crandall's White'","white/yellow signal patch 40cm 175","G"
1072,"Iris bloudowii","yellow 8-30cm 118","G"
3205,"Iris chrysophylla","pale yellow/violet veining 10-20cm Oregon: Klamath Mtns, Douglas Co 1083m 175","W"
3206,"Iris chrysophylla","white/violet 20cm Oregon: Donomore 1890m 127","W"
1074,"Iris cristata","blue/lilac-purple 4-8cm 5","G"
1075,"Iris cristata","white 4-8cm 5","G"
1076,"Iris delavayi","purple/white veined falls 1m 19","G"
1077,"Iris dichotoma","purple 40-60cm 59","G"
1078,"Iris domestica","orange-red-yellow/red spots 60-90cm 151","G"
1079,"Iris domestica 'Hello Yellow'","yellow 25-60cm 10","G"
1080,"Iris ensata","mix 25-100cm 69 178","G"
1081,"Iris forrestii","yellow 11-50cm 37","G"
1082,"Iris fulva (dwarf form)","rusty-red 40cm 102","G"
1083,"Iris gracilipes","pale purple 15-30cm 102","G"
1084,"Iris hookeri","deep-pale blue/blue-violet 5-60cm 69 89 136","G"
3207,"Iris hookeri","blue 25cm Maine: Washington Co 137","W"
1085,"Iris innominata","yellow 25cm 64","G"
1086,"Iris japonica","pale bluish 25-60cm 115","G"
1087,"Iris kerneriana","yellow to 30cm 63","G"
1088,"Iris lactea","mixed 14-70cm 59","G"
1089,"Iris lactea","pale violet/milky white-yellow 14-70cm 22 35","G"
1090,"Iris latifolia","deep blue to 60cm 37","G"
1091,"Iris latifolia","mixed blue/purple to 60cm 64","G"
1092,"Iris lutescens","violet-purple to 30cm 57","G"
3208,"Iris macrosiphon","yellow/dark brown veining 10-20cm California: Inner North Coast Ranges, Lake Co 1131m 175","W"
1093,"Iris magnifica","pale lilac-white/yellow zone 30-60cm 35 63 83","G"
1094,"Iris magnifica","white 30-60cm 74 35","G"
1095,"Iris magnifica 'Aman-Kutan' x 'Agalik'","white/blue veins 50cm 59","G"
1096,"Iris magnifica 'Virginity'","pure white 30-60cm 35","G"
1097,"Iris missouriensis","blue-purple 25-60cm 156","G"
1098,"Iris norrisii (x)","mix 60-90cm 102","G"
1099,"Iris norrisii (x) 'Dazzler'","yellow/orange/pink/purple/red to 40cm 82","G"
1102,"Iris persica","brownish-greenish-greyish 10cm 35","G"
1103,"Iris prismatica","pale violet/blue 30-80cm 59 102","G"
1104,"Iris pseudacorus (PI)","yellow 70-150cm 37 98","G"
1105,"Iris reticulata v bakeriana","blue-lilac 10cm 83","G"
1106,"Iris sanguinea 'Nana Alba'","white 10-20cm 175","G"
1107,"Iris setosa","deep violet-blue 15-90cm 31 128","G"
1108,"Iris setosa","mix 15-90cm 178","G"
1109,"Iris sibirica","violet/blue 50-120cm 156","G"
1110,"Iris sibirica","white/bluish 60cm 140","G"
1111,"Iris sibirica 'Pink Haze'","lavender-pink 60-90cm 175","G"
1112,"Iris sintenisii","blue-violet 20-35cm 97","G"
1113,"Iris sp","blue dwarf 155","G"
1114,"Iris spuria ssp maritima","blue-violet/purple 20-70cm 85","G"
1115,"Iris spuria ssp musulmanica","blue-violet/lavender-purple 40-100cm 63","G"
1116,"Iris tectorum","bluish-violet 20-40cm 35","G"
1117,"Iris tectorum","white 20-40cm 5 16 123","G"
1118,"Iris typhifolia","dark violet 50-90cm 85","G"
1119,"Iris variegata","yellow/brown veined falls 20-45cm 118","G"
1120,"Iris versicolor","red-violet 60-75cm 175","G"
1121,"Iris versicolor","violet-blue/greenish-yellow patch 20-60cm 42","G"
1130,"Kniphofia baurii","red-greenish yellow to 1m 99","G"
1131,"Kniphofia hirsuta","orange red/yellow 30-60cm 156","G"
1132,"Kniphofia ritualis","orange red-greenish yellow 40-90cm 156","G"
1133,"Kniphofia uvaria","orange-greenish yellow 50-120cm 180","G"
1136,"Lachenalia quadricolor","red base/yellow/green/purple tip 15-28cm 113","G"
1153,"Leucocoryne odorata","white 30-45cm 18","G"
1155,"Lewisia columbiana v rupicola","pale pink-deep purple magenta/rose 10-30cm 134","G"
1156,"Lewisia columbiana v wallowensis","white/pink veins 10-30cm 32 96","G"
1157,"Lewisia cotyledon","mix 10-30cm 175","G"
1158,"Lewisia cotyledon","orange/pink 10-30cm 85","G"
1159,"Lewisia cotyledon","white 10-30cm 134","G"
1160,"Lewisia cotyledon hybrid","orange 10-15cm 77","G"
1161,"Lewisia cotyledon hybrid","pink 10-15cm 77","G"
1162,"Lewisia longipetala hybrids"," 77","G"
1163,"Lewisia pygmaea","white 3-9cm 154","G"
1164,"Lewisia rediviva","rose-pink 1-3cm 77","G"
1165,"Liatris ligulistylis","lavender 120-150cm 117","G"
1166,"Liatris ligulistylis","pinkish purple 20-100cm 5","G"
1167,"Liatris microcephala","lavender-purple 30-80cm 5","G"
3217,"Liatris mucronata","purple 60cm Missouri: Dolomite Glades, Taney Co 28","W"
3218,"Liatris punctata","purple 45cm Colorado: Boulder Co 132","W"
1168,"Liatris pycnostachya","deep rose purple 60-120cm 5","G"
1169,"Liatris scariosa","lavender-purple 30-150cm 51","G"
1170,"Liatris scariosa v nieuwlandii","pink-purple 30-100cm 138","G"
1171,"Liatris scariosa v novae-angliae","reddish-purple 30-100cm 172","G"
1172,"Liatris spicata","pink-purple 40-110cm 160","G"
1173,"Liatris spicata 'Kobold'","pink-purple 45-75cm 181","G"
1179,"Lilium canadense","melon to 1.5m 153","G"
1180,"Lilium canadense","orange to 1.8m 56 6","G"
1181,"Lilium canadense","red to 1.8m 66","G"
1182,"Lilium canadense","red-orange to 1.8m 101","G"
1183,"Lilium canadense","yellow to 1.8m 114","G"
1184,"Lilium canadense","yellow-orange/red to 1.8m 101","G"
3219,"Lilium columbianum","orange 75cm Canada: Cascades, BC 64","W"
3220,"Lilium columbianum","orange-yellow 1-1.5m Washington: Cascade Range, Kittitas Co 1111m 175","W"
1185,"Lilium concolor 'Shikoku Yellow'","yellow/red spots 30-60cm 170","G"
1186,"Lilium duchartrei","white/red-purple spots 50-150cm 128","G"
1187,"Lilium formosanum","white/maroon stripe outer 120-200cm 50","G"
1188,"Lilium formosanum v formosanum","white/flushed purple reverse 20-55cm 114 117","G"
1189,"Lilium grayi","orange-red to 1.3m 137","G"
3221,"Lilium humboldtii ssp ocellatum","California: SE San Bernardino Mtns 1600m 177","W"
1190,"Lilium mackliniae","pink 30-50cm 114","G"
1191,"Lilium martagon","cream/red mix 1-2m 19","G"
1192,"Lilium martagon","mix 1-2m 82 136","G"
1193,"Lilium martagon","pink 1-2m >","G"
1194,"Lilium martagon","pink-purple/spotted 1-2m 13 37","G"
1195,"Lilium martagon","white 1-2m 101 156","G"
1196,"Lilium martagon","white/pink 1-2m 175","G"
1198,"Lilium martagon 'Akemina' (nv)","orange 100cm 19","G"
1199,"Lilium martagon 'Claude Shride'","mahogany-red/deep orange spots 90-180cm 82","G"
1200,"Lilium martagon 'Fairy Morning'","pink/yellow/apricot 90-180cm 82","G"
1201,"Lilium martagon 'Manitoba Morning'","pinkish-red/yellow-brown spots 90-120cm 82","G"
1197,"Lilium martagon (robust form)","pink 1-1.5m 175","G"
1202,"Lilium martagon v cattaniae (hort)","dark maroon to 2m 136","G"
1203,"Lilium michiganense","yellow-orange to 1.9m 44","G"
1204,"Lilium monadelphum","yellow 50-100cm 120","G"
1205,"Lilium oxypetalum","pale yellow-green 20-30cm 45","G"
3222,"Lilium pardalinum ssp pardalinum","orange/red tips 75-100cm California: Northern Sierra Nevada, Plumas Co 1536m 175","W"
3223,"Lilium pardalinum ssp vollmeri","orange-red 1-1.5m Oregon: Siskiyou Mtns, Jackson Co 1974m 175","W"
3224,"Lilium parryi","California: San Bernardino Mtns, Big Bear Lake 2300m 177","W"
3225,"Lilium parryi","California: SE San Bernardino Mtns 2125m 177","W"
1206,"Lilium philadelphicum","orange 20-30cm 60","G"
1207,"Lilium philippinense","white 30-90cm 81","G"
1208,"Lilium regale","white w/yellow throat/purple flush reverse 120-150cm 23","G"
1209,"Lilium regale (ex Taiwan)"," 177","G"
1210,"Lilium superbum","yellow-red orange/maroon spots to 2.8m 53","G"
3226,"Lilium washingtonianum ssp purpurascens","white/purple throat 1.5-2m Oregon: Siskiyou Mtns, Josephine Co 1078m 175","W"
1255,"Manfreda maculosa","pale yellow-white turn pink-rose flr/spotted lvs to 40cm 4","G"
1256,"Manfreda maculosa 'Hondo Robusto'","cream-lavender pink flr/spotted lvs 30cm lvs/90cm flr 170","G"
1257,"Manfreda sp (ex JC Raulston Arboretum)","brown flr/moderately wavy & spotted lvs 30cm lvs/1.5m flr 81","G"
1258,"Manfreda undulata 'Cherry Chocolate Chip'","burgundy flr/spotted wavy lvs w/red-white edge 20-120cm 170","G"
1259,"Manfreda virginica","yellow-green 8-40cm lvs/140cm flr 172","G"
1260,"Massonia depressa","green/cream/pink 5cm 20","G"
1261,"Massonia echinata","cream white 5cm 29","G"
1262,"Massonia pustulata","cream-pink to 5cm 29 148","G"
3249,"Medeola virginiana","20-30cm Massachusetts: Chesterfield, Hampshire Co 48","W"
3250,"Medeola virginiana","yellowish green 20-40cm Canada: Graywood, Nova Scotia 94","W"
3251,"Medeola virginiana (moist packed)","green 30cm Maine: Paris 105","W"
1269,"Melasphaerula ramosa","cream-pale yellow 30-50cm 29","G"
1277,"Mirabilis jalapa 'Orange Crush'","orange-salmon pink 60-90cm 183","G"
1278,"Mirabilis multiflora","magenta 40-70cm 49 144","G"
1286,"Moraea alticola","pale yellow to 90cm 114","G"
1287,"Moraea aristata","white/blue eyes 20-40cm 24","G"
1288,"Moraea longifolia","pale yellow 60-150cm 64","G"
1289,"Moraea polyanthos","blue 15-60cm 24","G"
1290,"Moraea setifolia","pale lilac 20-40cm 64","G"
1291,"Moraea vespertina","white 45-60cm 24","G"
1292,"Moraea villosa","mix to 40cm 24","G"
1295,"Muscari latifolium","dark purple/pale violet 15-30cm 169","G"
1296,"Muscari sp (ex MESE 240)","blue 12cm 74","G"
1302,"Narcissus 'Craigton Clumper'","pale yellow 72","G"
1299,"Narcissus assoanus","yellow 7-25cm 63","G"
1300,"Narcissus asturiensis","yellow 7-12cm 77","G"
1301,"Narcissus bulbocodium","yellow 10-15cm 63","G"
1303,"Narcissus nivalis","yellow 12cm 63","G"
1304,"Narcissus obesus","yellow 10-30cm 72","G"
1305,"Narcissus obvallaris","yellow 30cm 18 77","G"
1306,"Narcissus rupicola","yellow to 23cm 63 77","G"
1313,"Notholirion bulbuliferum","lilac/mauve/pale purple 65-105cm 65","G"
1314,"Nothoscordum ostenii","yellow 10cm 72","G"
1332,"Ophiopogon umbraticola (moist packed)","whitish-lavender flr/blue frt 15-30cm 170","G"
1333,"Orbea variegata","pale yellow/maroon speckled to 10cm 76","G"
1340,"Ornithogalum candicans","white to 120cm 2","G"
1341,"Ornithogalum fimbrimarginatum","white 20-45cm 111","G"
1342,"Ornithogalum neopatersonia","greenish-white 15-20cm 111","G"
1343,"Ornithogalum princeps","pale green-cream 60-90cm 65","G"
1344,"Ornithogalum pyrenaicum","pale greenish-yellow 30-60cm 3","G"
1345,"Ornithogalum regale","pale green 90-120cm 65","G"
1346,"Ornithogalum viridiflorum","pale yellow-green to 1m 65 66","G"
1353,"Othonna capensis","yellow 10-13cm 151","G"
1357,"Paeonia 'Abkhazi Princess'","white/dark purple eye 161","G"
1358,"Paeonia anomala","pink to 1m 117 156","G"
1359,"Paeonia anomala ssp veitchii","pink 30-90cm 118","G"
1360,"Paeonia anomala ssp veitchii","rose-red 30-90cm 45 159","G"
1361,"Paeonia arietina","rose-red 30-70cm 32 83 161","G"
1362,"Paeonia cambessedesii","rose-pink to 45cm 67 64","G"
1363,"Paeonia corsica","pink 35-80cm 35","G"
1364,"Paeonia daurica","red 45cm 117","G"
1365,"Paeonia daurica ssp coriifolia","red 70-100cm 77","G"
1366,"Paeonia daurica ssp coriifolia","rose 70-100cm 103","G"
1367,"Paeonia daurica ssp mlokosewitschii","yellow 80-100cm 45 156","G"
1368,"Paeonia daurica ssp mlokosewitschii hybrid"," 159","G"
1369,"Paeonia daurica ssp wittmanniana","creamy yellow 80-100cm 45","G"
1370,"Paeonia delavayi","red 20-180cm 19","G"
1371,"Paeonia delavayi f lutea","yellow compact form 161","G"
1372,"Paeonia mairei","pink-red to 1m 103","G"
1373,"Paeonia mascula","light pink to 90cm 82","G"
1374,"Paeonia mascula ssp mascula","red-pink to 80cm 156","G"
1375,"Paeonia obovata","cream 30-70cm 5","G"
1376,"Paeonia obovata","mix 30-70cm 123","G"
1377,"Paeonia obovata","pink 30-70cm 109 113","G"
1378,"Paeonia obovata","white 30-70cm 3 123","G"
1379,"Paeonia officinalis ssp officinalis","red-pinkish 35-90cm 156","G"
1380,"Paeonia ostii","pale pink 90cm 102","G"
1381,"Paeonia ostii","white to 1.5m >","G"
1382,"Paeonia peregrina","brilliant red 30-50cm 160","G"
1383,"Paeonia rockii","mix to 1.8m 103","G"
1384,"Paeonia rockii","pink 60-180cm 103 161","G"
1385,"Paeonia rockii","rich pink to 1.8m 94","G"
1386,"Paeonia rockii","white/dark purple eye to 1.8m 73 114 161","G"
1387,"Paeonia rockii ssp linyanshanii","white/dark purple base to 1.8m 161","G"
1388,"Paeonia suffruticosa (x)","dark red to 1.5m 103","G"
1389,"Paeonia suffruticosa (x)","mix to 1.5m 5 169","G"
1390,"Paeonia suffruticosa (x)","white to 1.5m 108 166","G"
1391,"Paeonia suffruticosa (x) v papaveracea","rose-pink/white to 2m 83","G"
1417,"Paradisea lusitanica","white 80-120cm 64 177","G"
1418,"Paris polyphylla","yellow-green 10-100cm 64","G"
1419,"Paris quadrifolia","yellow-green flr/blue-black frt 25-40cm 37","G"
3419,"Paris quadrifolia","green 30cm Norway: Harstad  188","W"
1429,"Pelargonium endlicherianum","deep pink-maroon veins 20-35cm >","G"
1430,"Pelargonium quercetorum","hot pink 60cm 78","G"
1530,"Phalocallis (Cypella) coelestis","blue-lavender 30-90cm 53 117 172","G"
1551,"Pinellia pedatisecta","yellowish-green to 45cm 81","G"
1552,"Pinellia tripartita","whitish-light green 30-35cm 55 159","G"
3326,"Polygonatum biflorum","Michigan: Kent Co 141","W"
1571,"Polygonatum biflorum (extra tall form) (moist packed)","white-greenish yellow 150-180cm 183","G"
3327,"Polygonatum biflorum (tetraploid form)","100-120cm Massachusetts: Northampton 48","W"
3328,"Polygonatum pubescens","20-30cm Massachusetts: Granby, Hampshire Co 48","W"
1572,"Polygonatum pubescens 'Gilty Pleasure'","white flr/gold lvs 50-90cm 136","G"
1627,"Primulina (Chirita) tamiana","white/purple-lavender 10cm 82","G"
1683,"Rhodophiala bagnoldii","yellow 30cm 34","G"
3343,"Rhodophiala montana","Chile: Laguna del Maule 174","W"
1686,"Rohdea japonica (moist packed)","pale yellow flr/red frt 30-50cm 166","G"
1688,"Romulea bulbocodium","blue-violet 10-15cm 74","G"
1761,"Sauromatum venosum","purplish brown-yellowish mottled spathe 20-100cm 165 166","G"
1791,"Scilla amoena","blue 10-30cm 97","G"
1792,"Scilla litardierei","blue-violet 15-20cm 74","G"
1793,"Scilla mischtschenkoana","white/blue mid-vein 10-15cm 169","G"
1794,"Scilla peruviana","violet-blue 15-40cm 74","G"
1795,"Scilla sardensis","rich blue 7-20cm 175","G"
1796,"Scilla verna","violet-blue 5-15cm 72","G"
1881,"Sinopodophyllum hexandrum","mix 15-60cm 5","G"
1882,"Sinopodophyllum hexandrum","pale pink flr/mottled lvs 15-60cm 129","G"
1883,"Sinopodophyllum hexandrum","pink 15-60cm 94 101 64","G"
1884,"Sinopodophyllum hexandrum","white 15-60cm 153","G"
1885,"Sisyrinchium angustifolium","blue to 45cm 160","G"
1886,"Sisyrinchium bellum","light blue-dark violet to 38cm 15","G"
1887,"Sisyrinchium californicum","yellow 5-40cm 143","G"
1888,"Sisyrinchium idahoense","bluish-violet to 45cm 112","G"
1889,"Sisyrinchium macrocarpum","yellow/brown ring to 20cm 144","G"
1890,"Sisyrinchium patagonicum","yellow/brown throat 10-30cm 64","G"
1903,"Sparaxis metelerkampiae","violet 15-30cm 29","G"
1906,"Spiloxene canaliculata","orange-yellow 10-35cm 34","G"
1934,"Talinum 'Kingwood Gold'","pink flr/chartreuse lvs 45-60cm 173","G"
1944,"Tecophilaea cyanocrocus","mixed forms to 10cm 34","G"
1945,"Tecophilaea violiflora","blue/lilac/purple/white 15-30cm 34","G"
1976,"Tigridia chiapensis","white 30cm 114","G"
1977,"Tigridia pavonia","mix 25-75cm 175","G"
1978,"Tigridia pavonia","red-orange 50-100cm 114","G"
1979,"Tigridia vanhouttei","cream/purple-brown veins to 70cm 114","G"
2006,"Trillium chloropetalum","mix flr/mottled lvs 20-65cm 161","G"
2007,"Trillium cuneatum (moist packed)","bronze/very dark red 25","G"
2008,"Trillium cuneatum (moist packed)","maroon to 45cm 169","G"
2009,"Trillium erectum (moist packed)","mix 15-60cm 25","G"
2010,"Trillium erectum (moist packed)","red/maroon-dark purple 15-60cm 169","G"
3385,"Trillium erectum (moist packed)","20cm Vermont: Fayston, Washington Co 48","W"
2011,"Trillium flexipes (moist packed)","pink ovaries 25","G"
2012,"Trillium flexipes hybrid (moist packed)","red flr/white ovary 20-50cm 169","G"
2013,"Trillium flexipes hybrid (moist packed)","reddish-brown over cream/white ovary to 50cm 169","G"
2014,"Trillium grandiflorum (moist packed)","white 15-30cm 169","G"
2015,"Trillium kurabayashii (moist packed)","red-purple flr/mottled lvs 25-55cm 25","G"
2016,"Trillium luteum (moist packed)","greenish-lemon yellow 15-40cm 5","G"
2017,"Trillium parviflorum","white 17-30cm 161","G"
2018,"Trillium parviflorum x kurabayashii","white 17-30cm 161","G"
2019,"Trillium recurvatum (moist packed)","dark maroon purple-yellow 15-48cm 169","G"
2020,"Trillium sp (sessile type) (moist packed)","dark maroon 20cm 124","G"
2021,"Trillium sulcatum (moist packed)","cream white 30-70cm 25","G"
3386,"Trillium undulatum","white/rose veining 10-45cm Canada: Hillgrove, Nova Scotia 94","W"
3387,"Triteleia bridgesii","lavender-violet 20-30cm California: C Sierra Nevada Foothills, Mariposa Co 175","W"
3388,"Triteleia bridgesii","red-violet 20-30cm California: N Sierra Nevada Foothills, Butte Co 960m 175","W"
3389,"Triteleia hyacinthina","bluish white 15-20cm California: Cascade Range, Tehama Co 1234m 175","W"
2024,"Triteleia ixioides","pale-bright yellow to 50cm 64","G"
2025,"Triteleia laxa","pale blue/deep purple 10-70cm 17","G"
3390,"Triteleia laxa","blue-purple 20-30cm California: Inner North Coast Ranges, Lake Co 460m 175","W"
3391,"Triteleia peduncularis","white/violet midvein/starburst inflorescence 20-30cm California: Inner North Coast Ranges, Lake Co 175","W"
2026,"Tritonia disticha","pink 50cm 64","G"
2032,"Tropaeolum austropurpureum","violet-purple 180cm 34","G"
2033,"Tropaeolum polyphyllum","golden yellow flr/blue-grey lvs 20cm 114","G"
2034,"Tulipa biflora","white w/yellow base/purplish-green reverse 10-15cm 57","G"
2035,"Tulipa celsiana","yellow/red-tinged reverse 10-15cm 169","G"
2036,"Tulipa clusiana 'Lady Jane'","white/rose-red reverse 20-30cm 16 139","G"
2037,"Tulipa clusiana v chrysantha","yellow/red reverse 13-30cm 72","G"
3394,"Tulipa dasystemon","Kazakhstan: Trans-Ili Ala-Tau 174","W"
2038,"Tulipa iliensis (ex Tian Shan, Kyrgyzstan)"," 83","G"
2039,"Tulipa saxatilis ssp bakeri 'Lilac Wonder'","pinkish lilac 7.5-20cm 30","G"
2040,"Tulipa sprengeri","bright red/scarlet 20-40cm >","G"
2041,"Tulipa sprengeri 'Trotters Form'","red to 50cm 37","G"
2042,"Tulipa sylvestris","yellow to 45cm 82 124 144","G"
2043,"Tulipa sylvestris ssp australis","yellow/red reverse to 40cm 156","G"
2044,"Tulipa tarda","yellow/white tips 5-20cm 49 118 169","G"
2045,"Tulipa turkestanica 'Nuratau'","white-yellow center/grey-violet reverse 15-30cm 35","G"
2047,"Uvularia grandiflora (moist packed)","yellow 20-75cm 169","G"
3395,"Uvularia sessilifolia","15-20cm Massachusetts: Granby, Hampshire Co 48","W"
2048,"Veltheimia bracteata","pale-deep pink/greenish yellow 20-40cm 20","G"
2049,"Veltheimia bracteata","salmon 20-40cm 13","G"
2050,"Veratrum californicum","creamy white 1-2.5m 134","G"
3396,"Veratrum californicum","California: San Bernardino Mtns, Big Bear Lake 2250m 177","W"
2051,"Veratrum formosanum","dark purple 30cm 156","G"
2052,"Veratrum nigrum","black-purple to 1m 39","G"
2096,"Zephyra elegans","blue/white 20-60cm 34","G"
2097,"Zephyranthes 'Capricorn'","pink/orange 30cm 81","G"
2106,"Zephyranthes 'Sunset Strain'","orangey-pink 25cm 167","G"
2098,"Zephyranthes drummondii","white 16-45cm 4 10","G"
2099,"Zephyranthes fosteri (cf)","pink 25cm 173","G"
2100,"Zephyranthes katheriniae","red 20cm 107","G"
2101,"Zephyranthes miradorensis","deep pink/white 20-35cm 107","G"
2102,"Zephyranthes morrisclintii","rose pink 25cm 10","G"
2103,"Zephyranthes primulina","yellow 15cm 10 107 167","G"
2104,"Zephyranthes reginae","yellow 15-30cm 10","G"
2105,"Zephyranthes rosea","rose 15cm 10","G"
