"bx_id","date_open","n_taxa"
"BX 301","2011-12-31","19"
"BX 302","2012-02-01","39"
"BX 303","2012-02-17","66"
"BX 304","2012-03-09","84"
"BX 305","2012-03-22","102"
"BX 306","2012-04-01","112"
"BX 307","2012-04-09","126"
"BX 308","2012-04-26","151"
"BX 309","2012-05-06","172"
"BX 310","2012-05-17","180"
"BX 311","2012-05-28","196"
"BX 312","2012-06-05","197"
"BX 313","2012-06-08","223"
"BX 314","2012-06-22","246"
"BX 315","2012-06-27","255"
"BX 316","2012-06-30","261"
"BX 317","2012-07-04","296"
"BX 318","2012-07-19","323"
"BX 319","2012-07-29","332"
"BX 320","2012-08-09","367"
"BX 321","2012-08-23","383"
"BX 322","2012-09-06","409"
"BX 323","2012-09-18","437"
"BX 324","2012-09-25","443"
"BX 325","2012-10-01","483"
"BX 326","2012-10-13","498"
"BX 327","2012-10-25","515"
"BX 328","2012-11-08","529"
"BX 329","2012-11-25","548"
"BX 330","2012-12-01","569"
"BX 331","2012-12-11","575"
"BX 332","2013-01-22","584"
"BX 333","2013-02-22","599"
"BX 334","2013-03-20","614"
"BX 335","2013-04-01","623"
"BX 336","2013-04-18","639"
"BX 337","2013-05-05","648"
"BX 338","2013-05-15","661"
"BX 339","2013-05-28","677"
"BX 340","2013-07-03","683"
"BX 341","2013-07-22","705"
"BX 342","2013-08-12","717"
"BX 343","2013-08-21","730"
"BX 344","2013-09-01","747"
"BX 345","2013-09-06","769"
"BX 346","2013-09-16","795"
"BX 347","2013-09-25","820"
"BX 348","2013-09-30","839"
"BX 349","2013-10-07","866"
"BX 350","2013-10-14","907"
"BX 351","2013-10-23","929"
"BX 352","2013-11-02","939"
"BX 353","2013-11-13","958"
"BX 354","2013-12-01","963"
"BX 355","2013-12-10","967"
"BX 356","2014-01-22","973"
"BX 357","2014-03-26","997"
"BX 358","2014-04-12","1013"
"BX 359","2014-04-26","1016"
"BX 360","2014-05-05","1029"
"BX 361","2014-05-16","1044"
"BX 362","2014-05-28","1048"
"BX 363","2014-06-11","1055"
"BX 364","2014-07-01","1060"
"BX 365","2014-07-19","1062"
"BX 366","2014-08-04","1075"
"BX 367","2014-08-08","1092"
"BX 368","2014-08-17","1102"
"BX 369","2014-09-02","1110"
"BX 370","2014-09-15","1119"
"BX 371","2014-10-03","1134"
"BX 372","2014-11-08","1144"
"BX 373","2014-12-28","1149"
"BX 374","2015-03-26","1152"
"BX 375","2015-04-06","1157"
"BX 376","2015-04-20","1160"
"BX 377","2015-04-26","1167"
"BX 378","2015-05-15","1167"
"BX 379","2015-06-04","1171"
"BX 380","2015-06-20","1173"
"BX 381","2015-07-12","1175"
"BX 382","2015-07-29","1185"
"BX 383","2015-08-09","1186"
"BX 384","2015-08-19","1190"
"BX 385","2015-09-02","1192"
"BX 386","2015-09-27","1204"
"BX 387","2015-10-15","1213"
"BX 388","2015-10-23","1219"
"BX 389","2015-10-28","1228"
"BX 390","2015-11-06","1232"
"BX 391","2015-11-13","1242"
"BX 392","2015-11-24","1251"
"BX 393","2015-12-01","1257"
"BX 394","2016-01-23","1263"
"BX 395","2016-02-22","1282"
"BX 396","2016-03-29","1285"
"BX 397","2016-04-28","1285"
"BX 398","2016-05-11","1290"
"BX 399","2016-05-23","1294"
"BX 400","2016-06-03","1299"
"BX 401","2016-06-10","1306"
"BX 402","2016-06-20","1313"
"BX 403","2016-06-28","1315"
"BX 404","2016-07-19","1328"
"BX 405","2016-08-11","1334"
"BX 406","2016-08-17","1348"
"BX 407","2016-08-24","1355"
"BX 408","2016-08-29","1359"
"BX 409","2016-09-17","1364"
"BX 410","2016-09-24","1366"
"BX 411","2016-10-06","1371"
"BX 412","2016-10-26","1384"
"BX 413","2016-11-07","1390"
"BX 414","2017-01-08","1392"
"BX 415","2017-02-19","1400"
"BX 416","2017-04-11","1410"
"BX 417","2017-05-04","1416"
"BX 418","2017-06-16","1419"
"BX 419","2017-07-15","1428"
"BX 420","2017-07-24","1434"
"BX 421","2017-07-31","1441"
"BX 422","2017-08-18","1445"
"BX 423","2017-08-27","1455"
"BX 424","2017-09-05","1458"
"BX 425","2017-09-13","1464"
"BX 426","2017-09-19","1470"
"BX 427","2017-10-06","1477"
"BX 428","2017-10-13","1479"
"BX 429","2017-10-30","1482"
"BX 430","2017-11-05","1483"
"BX 431","2017-11-08","1493"
"BX 432","2017-11-13","1495"
"BX 433","2017-11-18","1499"
"BX 434","2018-01-02","1514"
"BX 435","2018-01-14","1521"
"BX 436","2018-02-04","1534"
"BX 437","2018-03-27","1540"
"BX 438","2018-04-22","1548"
"BX 439","2018-05-08","1548"
"BX 440","2018-05-24","1552"
"BX 441","2018-06-25","1555"
"BX 442","2018-06-30","1564"
"BX 443","2018-07-25","1566"
"BX 444","2018-08-05","1577"
"BX 445","2018-08-12","1581"
"BX 446","2018-08-27","1583"
"BX 447","2018-09-15","1592"
"BX 448","2018-09-22","1599"
"BX 449","2018-10-02","1606"
"BX 450","2018-10-15","1609"
"BX 451","2018-11-26","1614"
"BX 452","2018-12-08","1629"
"BX 453","2019-01-24","1633"
"BX 454","2019-02-23","1644"
"BX 455","2019-04-02","1650"
"BX 456","2019-04-19","1662"
"BX 457","2019-05-09","1666"
"BX 458","2019-07-02","1671"
"BX 459","2019-07-05","1681"
"BX 460","2019-07-06","1684"
"BX 461","2019-07-22","1685"
"BX 462","2019-08-25","1700"
"BX 463b","2019-11-03","1714"
"BX 463s","2019-11-03","1781"
"SX 002","2015-02-06","1781"
"SX 003","2015-08-03","1781"
"SX 10","2018-06-12","1781"
"SX 11","2019-01-24","1781"
"SX 6","2016-09-05","1781"
"SX 7","2016-11-25","1781"
"SX 8","2017-06-20","1781"
"SX 9","2017-11-28","1781"
